optimizeWorld.stage.finished,Finishing up...,fina...
optimizeWorld.stage.failed,Failed! :(,xibayi! :(
optimizeWorld.info.converted,Upgraded chunks: %s,Upgraded chunks: %s
optimizeWorld.info.skipped,Skipped chunks: %s,Skipped chunks: %s
optimizeWorld.info.total,Total chunks: %s,Total chunks: %s
selectWorld.title,Select World,cuza dunia
selectWorld.search,search for worlds,serca dunia
selectWorld.empty,empty,kale
selectWorld.world,World,dunia
selectWorld.select,Play Selected World,gema cuzi dunia
selectWorld.create,Create New World,cana novi dunia
selectWorld.recreate,Re-Create,repo cana
selectWorld.createDemo,Play New Demo World,gema novi dalili dunia
selectWorld.delete,Delete,zayisula
selectWorld.edit,Edit,muta
selectWorld.edit.title,Edit World,muta dunia
selectWorld.edit.resetIcon,Reset Icon,repo loka grafe
selectWorld.edit.openFolder,Open World Folder,Open World Folder
selectWorld.edit.save,Save,sekura
selectWorld.edit.backup,Make Backup,cana sekure
selectWorld.edit.backupFolder,Open Backups Folder,Open Backups Folder
selectWorld.edit.backupFailed,Backup failed,sekure xibaye
selectWorld.edit.backupCreated,Backed up: %s,sekuri: %s
selectWorld.edit.backupSize,size: %s MB,size: %s MB
selectWorld.edit.optimize,Optimize World,kamila dunia
selectWorld.deleteQuestion,Are you sure you want to delete this world?,amen du wana zayisula ye dunia?
selectWorld.deleteWarning,'%s' will be lost forever! (A long time!),'%s' wil pan sate luzu! (longi zamane!)
selectWorld.deleteButton,Delete,zayisula
selectWorld.conversion,Must be converted!,muta bixu!
selectWorld.newWorld,New World,novi dunia
selectWorld.enterName,World Name,dunia du nam
selectWorld.resultFolder,Will be saved in:,wil sa sekuru:
selectWorld.enterSeed,Seed for the world generator,seme pa dunia du jener
selectWorld.seedInfo,Leave blank for a random seed,laxa kale pa zare seme
selectWorld.cheats,Cheats,komande
selectWorld.customizeType,Customize,Customize
selectWorld.version,Version:,version:
selectWorld.versionUnknown,unknown,januli
selectWorld.versionQuestion,Do you really want to load this world?,sekuro wana lada yi dunia?
selectWorld.versionWarning,This world was last played in version %s and loading it in this version could cause corruption!,This world was last played in version %s and loading it in this version could cause corruption!
selectWorld.versionJoinButton,Load Anyway,lada eni daw
selectWorld.backupQuestion,Do you really want to load this world?,Do you really want to load this world?
selectWorld.backupWarning,This world was last played in version %s; you are on version %s. Please make a backup in case you experience world corruptions!,This world was last played in version %s; you are on version %s. Please make a backup in case you experience world corruptions!
selectWorld.backupQuestion.customized,Customized worlds are no longer supported,Customized worlds are no longer supported
selectWorld.backupWarning.customized,"Unfortunately, we do not support customized worlds in this version of Minecraft. We can still load this world and keep everything the way it was, but any newly generated terrain will no longer be customized. We're sorry for the inconvenience!","Unfortunately, we do not support customized worlds in this version of Minecraft. We can still load this world and keep everything the way it was, but any newly generated terrain will no longer be customized. We're sorry for the inconvenience!"
selectWorld.backupEraseCache,Erase cached data,Erase cached data
selectWorld.backupJoinConfirmButton,Backup and load,sekura e lada
selectWorld.backupJoinSkipButton,I know what I'm doing!,me jana ke me karma!
selectWorld.tooltip.fromNewerVersion1,"World was saved in a newer version,","Dunia pas sekuru sa novi day version,"
selectWorld.tooltip.fromNewerVersion2,loading this world could cause problems!,lada ye dunia ablabli isa probleme!
selectWorld.tooltip.snapshot1,Don't forget to backup this world,no memula sekura ye dunia
selectWorld.tooltip.snapshot2,before you load it in this snapshot.,"predo du lada le sa ye ""snapshot""."
selectWorld.tooltip.unsupported,This world is no longer supported and can only be played in %s,This world is no longer supported and can only be played in %s
selectWorld.unable_to_load,Unable to load worlds,ablula lada dunia
selectWorld.futureworld.error.title,An error occured!,An error occured!
selectWorld.futureworld.error.text,"Something went wrong while trying to load a world from a future version. This was a risky operation to begin with, sorry it didn't work.","Something went wrong while trying to load a world from a future version. This was a risky operation to begin with, sorry it didn't work."
selectWorld.recreate.error.title,An error occured!,An error occured!
selectWorld.recreate.error.text,Something went wrong while trying to recreate a world.,koy xey galtu sa testa repo cana dunia.
selectWorld.recreate.customized.title,Customized worlds are no longer supported,Customized worlds are no longer supported
selectWorld.recreate.customized.text,"Customized worlds are no longer supported in this version of Minecraft. We can try to recreate it with the same seed and properties, but any terrain customizations will be lost. We're sorry for the inconvenience!","Customized worlds are no longer supported in this version of Minecraft. We can try to recreate it with the same seed and properties, but any terrain customizations will be lost. We're sorry for the inconvenience!"
selectWorld.load_folder_access,Unable to read or access folder where game worlds are saved!,Unable to read or access folder where game worlds are saved!
createWorld.customize.presets,Presets,lewopoze
createWorld.customize.presets.title,Select a Preset,cuza lewopoze
createWorld.customize.presets.select,Use Preset,uza lewopoze
createWorld.customize.presets.share,Want to share your preset with someone? Use the below box!,wana komuna ti lewopoze sa koy ren? uza tali sanduke!
createWorld.customize.presets.list,"Alternatively, here's some we made earlier!","Alternatively, here's some we made earlier!"
createWorld.customize.flat.title,Superflat Customization,Superflat Customization
createWorld.customize.flat.tile,Layer Material,cenge mati
createWorld.customize.flat.height,Height,gawia
createWorld.customize.flat.removeLayer,Remove Layer,zayisula cenge
createWorld.customize.flat.layer.top,Top - %s,gawe - %s
createWorld.customize.flat.layer,%s,%s
createWorld.customize.flat.layer.bottom,Bottom - %s,tale - %s
createWorld.customize.buffet.title,Buffet world customization,Buffet world customization
createWorld.customize.buffet.generatortype,World generator:,dunia du jener:
createWorld.customize.buffet.generator,Please select a generator type,Please select a generator type
createWorld.customize.buffet.biome,Please select a biome,Please select a biome
createWorld.customize.preset.classic_flat,Classic Flat,Classic Flat
createWorld.customize.preset.tunnelers_dream,Tunnelers' Dream,Tunnelers' Dream
createWorld.customize.preset.water_world,Water World,suy pa dunia
createWorld.customize.preset.overworld,Overworld,supri dunia
createWorld.customize.preset.snowy_kingdom,Snowy Kingdom,himi rajia
createWorld.customize.preset.bottomless_pit,Bottomless Pit,nu tale kave
createWorld.customize.preset.desert,Desert,registan
createWorld.customize.preset.redstone_ready,Redstone Ready,redi kirmi petre
createWorld.customize.preset.the_void,The Void,kali
createWorld.customize.custom.page0,Basic Settings,bazi cuzable
createWorld.customize.custom.page1,Ore Settings,kuange du cuzable
createWorld.customize.custom.page2,Advanced Settings (Expert Users Only!),jini cuzable (mesteri uzer mono!)
createWorld.customize.custom.page3,Extra Advanced Settings (Expert Users Only!),jini cuzable (mesteri uzer mono!)
createWorld.customize.custom.randomize,Randomize,zara
createWorld.customize.custom.prev,Previous Page,predi warkolate
createWorld.customize.custom.next,Next Page,badi warkolate
createWorld.customize.custom.defaults,Defaults,Defaults
createWorld.customize.custom.confirm1,This will overwrite your current,This will overwrite your current
createWorld.customize.custom.confirm2,settings and cannot be undone.,cuzable e no abla karmulu.
createWorld.customize.custom.confirmTitle,Warning!,Warning!
createWorld.customize.custom.mainNoiseScaleX,Main Noise Scale X,xefi kelele barometer X
createWorld.customize.custom.mainNoiseScaleY,Main Noise Scale Y,xefi kelele barometer Y
createWorld.customize.custom.mainNoiseScaleZ,Main Noise Scale Z,xefi kelele barometer Z
createWorld.customize.custom.depthNoiseScaleX,Depth Noise Scale X,Depth Noise Scale X
createWorld.customize.custom.depthNoiseScaleZ,Depth Noise Scale Z,Depth Noise Scale Z
createWorld.customize.custom.depthNoiseScaleExponent,Depth Noise Exponent,Depth Noise Exponent
createWorld.customize.custom.baseSize,Depth Base Size,Depth Base Size
createWorld.customize.custom.coordinateScale,Coordinate Scale,Coordinate Scale
createWorld.customize.custom.heightScale,Height Scale,gawia barometer
createWorld.customize.custom.stretchY,Height Stretch,Height Stretch
createWorld.customize.custom.upperLimitScale,Upper Limit Scale,supri limite barometer
createWorld.customize.custom.lowerLimitScale,Lower Limit Scale,nici limite barometer
createWorld.customize.custom.biomeDepthWeight,Biome Depth Weight,Biome Depth Weight
createWorld.customize.custom.biomeDepthOffset,Biome Depth Offset,Biome Depth Offset
createWorld.customize.custom.biomeScaleWeight,Biome Scale Weight,Biome Scale Weight
createWorld.customize.custom.biomeScaleOffset,Biome Scale Offset,Biome Scale Offset
createWorld.customize.custom.seaLevel,Sea Level,samude cenge
createWorld.customize.custom.useCaves,Caves,guhe
createWorld.customize.custom.useStrongholds,Strongholds,burge
createWorld.customize.custom.useVillages,Villages,ruste
createWorld.customize.custom.useMineShafts,Mineshafts,Mineshafts
createWorld.customize.custom.useTemples,Temples,mandire
createWorld.customize.custom.useOceanRuins,Ocean Ruins,dayosamude du harabe
createWorld.customize.custom.useMonuments,Ocean Monuments,Ocean Monuments
createWorld.customize.custom.useMansions,Woodland Mansions,Woodland Mansions
createWorld.customize.custom.useRavines,Ravines,Ravines
createWorld.customize.custom.useDungeons,Dungeons,Dungeons
createWorld.customize.custom.dungeonChance,Dungeon Count,Dungeon Count
createWorld.customize.custom.useWaterLakes,Water Lakes,lage da suy
createWorld.customize.custom.waterLakeChance,Water Lake Rarity,Water Lake Rarity
createWorld.customize.custom.useLavaLakes,Lava Lakes,lage da yongopetre
createWorld.customize.custom.lavaLakeChance,Lava Lake Rarity,cangia da lage da yongopetre
createWorld.customize.custom.useLavaOceans,Lava Oceans,samude da yongopetre
createWorld.customize.custom.fixedBiome,Biome,Biome
createWorld.customize.custom.biomeSize,Biome Size,Biome Size
createWorld.customize.custom.riverSize,River Size,River Size
createWorld.customize.custom.size,Spawn Size,Spawn Size
createWorld.customize.custom.count,Spawn Tries,Spawn Tries
createWorld.customize.custom.minHeight,Min. Height,Min. Height
createWorld.customize.custom.maxHeight,Max. Height,maximi gawia
createWorld.customize.custom.center,Center Height,junge gawia
createWorld.customize.custom.spread,Spread Height,Spread Height
createWorld.customize.custom.presets.title,Customize World Presets,Customize World Presets
createWorld.customize.custom.presets,Presets,lewopoze
createWorld.customize.custom.preset.waterWorld,Water World,dunia du suye
createWorld.customize.custom.preset.isleLand,Isle Land,nese du istan
createWorld.customize.custom.preset.caveDelight,Caver's Delight,guher du suke
createWorld.customize.custom.preset.mountains,Mountain Madness,xane folia
createWorld.customize.custom.preset.drought,Drought,gane
createWorld.customize.custom.preset.caveChaos,Caves of Chaos,guhe du haose
createWorld.customize.custom.preset.goodLuck,Good Luck,bon zare
gameMode.survival,Survival Mode,hayomode
gameMode.creative,Creative Mode,canomode
gameMode.adventure,Adventure Mode,aventuromode
gameMode.spectator,Spectator Mode,notomode
gameMode.hardcore,Hardcore Mode!,kunanomode!
gameMode.changed,Your game mode has been updated to %s,ti gemomode mutu pa %s
spectatorMenu.previous_page,Previous Page,predi warkolate
spectatorMenu.next_page,Next Page,badi warkolate
spectatorMenu.close,Close Menu,Close Menu
spectatorMenu.teleport,Teleport to Player,Teleport to Player
spectatorMenu.teleport.prompt,Select a player to teleport to,Select a player to teleport to
spectatorMenu.team_teleport,Teleport to Team Member,Teleport to Team Member
spectatorMenu.team_teleport.prompt,Select a team to teleport to,Select a team to teleport to
spectatorMenu.root.prompt,"Press a key to select a command, and again to use it.","Press a key to select a command, and again to use it."
selectWorld.gameMode,Game Mode,gemomode
selectWorld.gameMode.survival,Survival,hayi
selectWorld.gameMode.survival.line1,"Search for resources, crafting, gain","Search for resources, crafting, gain"
selectWorld.gameMode.survival.line2,"levels, health and hunger","levels, health and hunger"
selectWorld.gameMode.creative,Creative,cani
selectWorld.gameMode.creative.line1,"Unlimited resources, free flying and","Unlimited resources, free flying and"
selectWorld.gameMode.creative.line2,destroy blocks instantly,destroy blocks instantly
selectWorld.gameMode.spectator,Spectator,noti
selectWorld.gameMode.spectator.line1,You can look but don't touch,Du abla vida a no toca
selectWorld.gameMode.spectator.line2,, 
selectWorld.gameMode.hardcore,Hardcore,kunani
selectWorld.gameMode.hardcore.line1,"Same as survival mode, locked at hardest","sami ko hayomode, a maximi"
selectWorld.gameMode.hardcore.line2,"difficulty, and one life only","kunani, e da uni haye"
selectWorld.gameMode.adventure,Adventure,adventuri
selectWorld.gameMode.adventure.line1,"Same as survival mode, but blocks can't","Same as survival mode, but blocks can't"
selectWorld.gameMode.adventure.line2,be added or removed,zayisu e zayisulu
selectWorld.moreWorldOptions,More World Options...,max dunia cuzable...
selectWorld.mapFeatures,Generate Structures:,Generate Structures:
selectWorld.mapFeatures.info,"Villages, dungeons etc","Villages, dungeons etc"
selectWorld.mapType,World Type:,dunia jinse:
selectWorld.mapType.normal,Normal,normi
selectWorld.allowCommands,Allow Cheats:,halala komande:
selectWorld.allowCommands.info,"Commands like /gamemode, /experience","komande ko /gamemode, /experience"
selectWorld.hardcoreMode,Hardcore:,kunani:
selectWorld.hardcoreMode.info,World is deleted upon death,dunia ki sate gemer mortu zayisulu
selectWorld.bonusItems,Bonus Chest:,Bonus Chest:
generator.default,Default,Default
generator.flat,Superflat,superoplati
generator.largeBiomes,Large Biomes,Large Biomes
generator.amplified,AMPLIFIED,AMPLIFIED
generator.customized,Customized,Customized
generator.debug_all_block_states,Debug Mode,Debug Mode
generator.amplified.info,"Notice: Just for fun, requires beefy computer","notise: adali pa funa, xarta muhomansi komputer"
generator.buffet,Buffet,bufete
selectServer.title,Select Server,Select Server
selectServer.empty,empty,kali
selectServer.select,Join Server,Join Server
selectServer.direct,Direct Connect,lidi samuna
selectServer.edit,Edit,muta
selectServer.delete,Delete,zayisula
selectServer.add,Add Server,zayisa server
selectServer.defaultName,Minecraft Server,mainkrafte server
selectServer.deleteQuestion,Are you sure you want to remove this server?,Are you sure you want to remove this server?
selectServer.deleteWarning,'%s' will be lost forever! (A long time!),'%s' wil luza tenu dura pan zamane! (longi zamane!)
selectServer.deleteButton,Delete,zayisula
selectServer.refresh,Refresh,Refresh
selectServer.hiddenAddress,(Hidden),(Hidden)
addServer.title,Edit Server Info,Edit Server Info
addServer.enterName,Server Name,Server Name
addServer.enterIp,Server Address,Server Address
addServer.add,Done,karmi
addServer.hideAddress,Hide Address,Hide Address
addServer.resourcePack,Server Resource Packs,Server Resource Packs
addServer.resourcePack.enabled,Enabled,Enabled
addServer.resourcePack.disabled,Disabled,Disabled
addServer.resourcePack.prompt,Prompt,eski
lanServer.title,LAN World,LAN dunia
lanServer.scanning,Scanning for games on your local network,Scanning for games on your local network
lanServer.start,Start LAN World,kaixa LAN dunia
lanServer.otherPlayers,Settings for Other Players,cuzable pa ali gemer
mcoServer.title,Minecraft Online World,mainkrafte Online World
multiplayerWarning.header,Online play is not rated,geme da sa linye no lewo pipingu
multiplayerWarning.message,"During online play you may be exposed to chat messages or other types of user generated content that has not been rated, and may not be suitable for all ages.","During online play you may be exposed to chat messages or other types of user generated content that has not been rated, and may not be suitable for all ages."
multiplayerWarning.check,Do not show this screen again,no xowa ye ekran repo
multiplayer.title,Play Multiplayer,gema multi gemer
multiplayer.connect,Connect,samuna
multiplayer.ipinfo,Enter the IP of a server to connect to it:,Enter the IP of a server to connect to it:
multiplayer.texturePrompt.line1,This server recommends the use of a custom resource pack.,This server recommends the use of a custom resource pack.
multiplayer.texturePrompt.line2,Would you like to download and install it automagically?,Would you like to download and install it automagically?
multiplayer.downloadingTerrain,Loading terrain...,Loading terrain...
multiplayer.downloadingStats,Downloading statistics...,talolade informe...
multiplayer.stopSleeping,Leave Bed,cuta bede
multiplayer.message_not_delivered,"Can't deliver chat message starting with %s, check server logs","Can't deliver chat message starting with %s, check server logs"
multiplayer.player.joined,%s joined the game,%s samuna geme
multiplayer.player.joined.renamed,%s (formerly known as %s) joined the game,%s (formerly known as %s) joined the game
multiplayer.player.left,%s left the game,%s pas cuta geme
multiplayer.status.and_more,... and %s more ...,... e %s maxo ...
multiplayer.status.cancelled,Cancelled,Cancelled
multiplayer.status.cannot_connect,Can't connect to server,no abla samuna sa server
multiplayer.status.cannot_resolve,Can't resolve hostname,Can't resolve hostname
multiplayer.status.client_out_of_date,Client out of date!,Client out of date!
multiplayer.status.finished,Finished,fine
multiplayer.status.no_connection,(no connection),(no samune)
multiplayer.status.old,Old,purani
multiplayer.status.pinging,Pinging...,Pinging...
multiplayer.status.quitting,Quitting,cute
multiplayer.status.server_out_of_date,Server out of date!,Server out of date!
multiplayer.status.unknown,???,???
multiplayer.status.unrequested,Received unrequested status,geta plizula hale
multiplayer.status.request_handled,Status requst has been handled,Status requst has been handled
multiplayer.disconnect.authservers_down,"Authentication servers are down. Please try again later, sorry!","Authentication servers are down. Please try again later, sorry!"
multiplayer.disconnect.banned,You are banned from this server,You are banned from this server
multiplayer.disconnect.banned.reason,"You are banned from this server.
Reason: %s","You are banned from this server.
Reason: %s"
multiplayer.disconnect.banned.expiration,"
Your ban will be removed on %s","
ti harame wil zayisuli sa %s"
multiplayer.disconnect.banned_ip.reason,"Your IP address is banned from this server.
Reason: %s","Your IP address is banned from this server.
Reason: %s"
multiplayer.disconnect.banned_ip.expiration,"
Your ban will be removed on %s","
ti harame wil zayisuli sa %s"
multiplayer.disconnect.duplicate_login,You logged in from another location,te defta ca unale loke
multiplayer.disconnect.flying,Flying is not enabled on this server,Flying is not enabled on this server
multiplayer.disconnect.generic,Disconnected,samunuli
multiplayer.disconnect.idling,You have been idle for too long!,You have been idle for too long!
multiplayer.disconnect.illegal_characters,Illegal characters in chat,harami harfe sa blableria
multiplayer.disconnect.invalid_entity_attacked,Attempting to attack an invalid entity,Attempting to attack an invalid entity
multiplayer.disconnect.invalid_player_movement,Invalid move player packet received,Invalid move player packet received
multiplayer.disconnect.invalid_vehicle_movement,Invalid move vehicle packet received,Invalid move vehicle packet received
multiplayer.disconnect.ip_banned,You have been IP banned from this server,You have been IP banned from this server
multiplayer.disconnect.kicked,Kicked by an operator,Kicked by an operator
multiplayer.disconnect.outdated_client,Outdated client! Please use %s,lawi geme! pliza uza %s
multiplayer.disconnect.outdated_server,Outdated server! I'm still on %s,Outdated server! I'm still on %s
multiplayer.disconnect.server_shutdown,Server closed,Server closed
multiplayer.disconnect.slow_login,Took too long to log in,max ko bas longi dura defta
multiplayer.disconnect.unverified_username,Failed to verify username!,pas xibaya genca uzer du nam!
multiplayer.disconnect.not_whitelisted,You are not white-listed on this server!,You are not white-listed on this server!
multiplayer.disconnect.server_full,The server is full!,The server is full!
multiplayer.disconnect.name_taken,That name is already taken,we nam lewo geta
multiplayer.disconnect.unexpected_query_response,Unexpected custom data from client,Unexpected custom data from client
chat.editBox,chat,blableria
chat.cannotSend,Cannot send chat message,no abla misa blableria du anjile
chat.type.text,<%s> %s,<%s> %s
chat.type.text.narrate,%s says %s,%s loga %s
chat.type.emote,* %s %s,* %s %s
chat.type.announcement,[%s] %s,[%s] %s
chat.type.admin,[%s: %s],[%s: %s]
chat.type.advancement.task,%s has made the advancement %s,%s pura jine %s
chat.type.advancement.challenge,%s has completed the challenge %s,%s pura day jine %s
chat.type.advancement.goal,%s has reached the goal %s,%s pura gole %s
chat.type.team.text,%s <%s> %s,%s <%s> %s
chat.type.team.sent,-> %s <%s> %s,-> %s <%s> %s
chat.type.team.hover,Message Team,anjila time
chat.link.confirm,Are you sure you want to open the following website?,amen du wana kaya badi netoloko?
chat.link.warning,Never open links from people that you don't trust!,Never open links from people that you don't trust!
chat.copy,Copy to Clipboard,Copy to Clipboard
chat.copy.click,Click to copy to Clipboard,Click to copy to Clipboard
chat.link.confirmTrusted,Do you want to open this link or copy it to your clipboard?,Do you want to open this link or copy it to your clipboard?
chat.link.open,Open in Browser,Open in Browser
chat.coordinates,"%s, %s, %s","%s, %s, %s"
chat.coordinates.tooltip,Click to teleport,Click to teleport
menu.playdemo,Play Demo World,gema dalili dunia
menu.resetdemo,Reset Demo World,repo loka dalili dunia
demo.day.1,"This demo will last five game days, do your best!","wi dalile wil dura limi den du geme, bon zare!"
demo.day.2,Day Two,den duli
demo.day.3,Day Three,den tini
demo.day.4,Day Four,den cari
demo.day.5,This is your last day!,fini den!
demo.day.warning,Your time is almost up!,karibo no maxo zamane resta!
demo.day.6,"You have passed your fifth day, use %s to save a screenshot of your creation","lim den duri, uza %s sekura ekranokape pa te cane"
demo.reminder,"The demo time has expired, buy the game to continue or start a new world!","dalile du zamane fina, xopa geme pa kontinu o kaixa novi dunia!"
demo.remainingTime,Remaining time: %s,resti zamane: %s
demo.demoExpired,Demo time's up!,dalile du zamane fina!
demo.help.movement,"Use the %1$s, %2$s, %3$s, %4$s keys and the mouse to move around","Uza %1$s, %2$s, %3$s, %4$s butone e muxe kina ze"
demo.help.movementShort,"Move by pressing the %1$s, %2$s, %3$s, %4$s keys","kina sa puxa %1$s, %2$s, %3$s, %4$s butone"
demo.help.movementMouse,Look around using the mouse,kana uza muxe
demo.help.jump,Jump by pressing the %1$s key,jampa sa puxa %1$s butone
demo.help.inventory,Use the %1$s key to open your inventory,Uza %1$s butone kaya ti rukosake
demo.help.title,Minecraft Demo Mode,mainkrafte Demo Mode
demo.help.fullWrapped,This demo will last 5 ingame days (about 1 hour and 40 minutes of real time). Check the advancements for hints! Have fun!,we dalile wil dura 5 sa-geme den (yago 1 hore e 40 minute du veri zamane). ceka jina sa helpe! fana ze!
demo.help.buy,Purchase Now!,zaye xopa!
demo.help.later,Continue Playing!,kontina gema!
connect.connecting,Connecting to the server...,Connecting to the server...
connect.aborted,Aborted,Aborted
connect.authorizing,Logging in...,defta...
connect.negotiating,Negotiating...,Negotiating...
connect.encrypting,Encrypting...,Encrypting...
connect.joining,Joining world...,samuna dunia...
connect.failed,Failed to connect to the server,Failed to connect to the server
disconnect.genericReason,%s,%s
disconnect.disconnected,Disconnected by Server,Disconnected by Server
disconnect.lost,Connection Lost,lozi samune
disconnect.kicked,Was kicked from the game,Was kicked from the game
disconnect.timeout,Timed out,no maxi zamane
disconnect.closed,Connection closed,kayuli samune
disconnect.loginFailed,Failed to log in,xibayi defte
disconnect.loginFailedInfo,Failed to log in: %s,xibayi defte: %s
disconnect.loginFailedInfo.serversUnavailable,The authentication servers are currently down for maintenance.,The authentication servers are currently down for maintenance.
disconnect.loginFailedInfo.invalidSession,Invalid session (Try restarting your game and the launcher),Invalid session (Try restarting your game and the launcher)
disconnect.quitting,Quitting,cuta
disconnect.endOfStream,End of stream,nade du fine
disconnect.overflow,Buffer overflow,Buffer overflow
disconnect.spam,Kicked for spamming,Kicked for spamming
soundCategory.master,Master Volume,Master Volume
soundCategory.music,Music,musike
soundCategory.record,Jukebox/Note Blocks,Jukebox/tonobloke
soundCategory.weather,Weather,tenke
soundCategory.hostile,Hostile Creatures,hatari xey
soundCategory.neutral,Friendly Creatures,dosti xey
soundCategory.player,Players,gemer
soundCategory.block,Blocks,Blocks
soundCategory.ambient,Ambient/Environment,ekia
soundCategory.voice,Voice/Speech,loge
record.nowPlaying,Now playing: %s,zaye musika: %s
options.off,OFF,no
options.on,ON,si
options.visible,Shown,xowi
options.hidden,Hidden,Hidden
options.title,Options,cuzable
options.controls,Controls...,cuzable du butone...
options.video,Video Settings...,cuzable du filme...
options.language,Language...,baxe...
options.sounds,Music & Sounds...,musike e sonde...
options.sounds.title,Music & Sound Options,cuzable du musike e sonde
options.languageWarning,Language translations may not be 100%% accurate,tarje du baxe no abla 100%% justi
options.videoTitle,Video Settings,cuzable du filme
options.mouse_settings,Mouse Settings...,cuzable du muxe...
options.mouse_settings.title,Mouse Settings,cuzable du muxe
options.customizeTitle,Customize World Settings,Customize World Settings
options.music,Music,musike
options.sound,Sound,sonde
options.invertMouse,Invert Mouse,Invert Mouse
options.fov,FOV,vidomaidane
options.fov.min,Normal,normi
options.fov.max,Quake Pro,Quake Pro
options.biomeBlendRadius,Biome Blend,Biome Blend
options.biomeBlendRadius.1,OFF (Fastest),no (max rapidi)
options.biomeBlendRadius.3,3x3 (Fast),3x3 (rapidi)
options.biomeBlendRadius.5,5x5 (Normal),5x5 (normi)
options.biomeBlendRadius.7,7x7 (High),7x7 (gawi)
options.biomeBlendRadius.9,9x9 (Very High),9x9 (veri gawi)
options.biomeBlendRadius.11,11x11 (Extreme),11x11 (Extreme)
